task,dataset,dataset_link,sota,sota_link,metric,sota_acc,notebook_acc,notebook_model,article,notebook
Remove Image Background,VOC2012,http://host.robots.ox.ac.uk/pascal/VOC/voc2012/,-,,-,-,-,DeepLabV3,https://news.machinelearning.sg/posts/beautiful_profile_pics_remove_background_image_with_deeplabv3,Remove_Image_Background_DeepLabV3.ipynb
Detect People From Images,COCO,https://cocodataset.org/,-,,-,-,-,YOLOv5,https://news.machinelearning.sg/posts/object_detection_with_yolov5,Detect_Persons_From_Image_YOLOv5.ipynb
Anime Super Resolution,Private,,-,,-,-,-,Waifu2x+CARN,https://news.machinelearning.sg/posts/anime_super_resolution_with_pytorch,Anime_Super_Resolution_PyTorch.ipynb
Face Super Resolution,Private,https://huggingface.co/sberbank-ai/Real-ESRGAN,-,,-,-,-,Real-ESRGAN,https://news.machinelearning.sg/posts/face_super_resolution_real_esrgan,Face_Super_Resolution_Real_ESRGAN.ipynb
Optical Character Recognition,SROIE,https://paperswithcode.com/dataset/sroie,-,,-,-,-,TrOCR,https://news.machinelearning.sg/posts/ocr_from_images_with_transformers,OCR_from_Images_with_Transformers.ipynb
Anime Character GAN,Private,,-,,-,-,-,StyleGAN2,https://news.machinelearning.sg/posts/anicharagan_anime_character_generation_with_stylegan2,Anime_Character_Generation_with_StyleGAN2.ipynb
Face to Anime,Dataset-1,https://github.com/TachibanaYoshino/AnimeGAN/releases/tag/dataset-1,-,,-,-,-,AnimeGANv2,https://news.machinelearning.sg/posts/face_to_anime_with_animeganv2,Face_to_Anime_with_AnimeGANv2.ipynb
Art Generation,WikiArt,https://github.com/cs-chan/ArtGAN/blob/master/WikiArt%20Dataset/README.md,-,,-,-,-,v-diffusion+CLIP,https://news.machinelearning.sg/posts/art_generation_with_v_diffusion,Art_Generation_with_v_Diffusion.ipynb
Document Image Classification,RVL-CDIP,https://paperswithcode.com/dataset/rvl-cdip,-,,-,-,-,DiT,https://news.machinelearning.sg/posts/document_image_classification_dit,Document_Image_Classification_DiT.ipynb
